id;name;geoid;geoname;value;datetime
805;Precio medio horario componente mercado diario ;;;95;2021-07-10T23:00:00
805;Precio medio horario componente mercado diario ;;;98.81;2021-07-11T00:00:00
805;Precio medio horario componente mercado diario ;;;97.87;2021-07-11T01:00:00
805;Precio medio horario componente mercado diario ;;;97.87;2021-07-11T02:00:00
805;Precio medio horario componente mercado diario ;;;97.87;2021-07-11T03:00:00
805;Precio medio horario componente mercado diario ;;;97.96;2021-07-11T04:00:00
805;Precio medio horario componente mercado diario ;;;98.56;2021-07-11T05:00:00
805;Precio medio horario componente mercado diario ;;;98.56;2021-07-11T06:00:00
805;Precio medio horario componente mercado diario ;;;98;2021-07-11T07:00:00
805;Precio medio horario componente mercado diario ;;;93.5;2021-07-11T08:00:00
805;Precio medio horario componente mercado diario ;;;94.55;2021-07-11T09:00:00
805;Precio medio horario componente mercado diario ;;;92;2021-07-11T10:00:00
805;Precio medio horario componente mercado diario ;;;88.93;2021-07-11T11:00:00
805;Precio medio horario componente mercado diario ;;;79.91;2021-07-11T12:00:00
805;Precio medio horario componente mercado diario ;;;74.99;2021-07-11T13:00:00
805;Precio medio horario componente mercado diario ;;;73.75;2021-07-11T14:00:00
805;Precio medio horario componente mercado diario ;;;72.5;2021-07-11T15:00:00
805;Precio medio horario componente mercado diario ;;;67.98;2021-07-11T16:00:00
805;Precio medio horario componente mercado diario ;;;73.75;2021-07-11T17:00:00
805;Precio medio horario componente mercado diario ;;;80.85;2021-07-11T18:00:00
805;Precio medio horario componente mercado diario ;;;94.25;2021-07-11T19:00:00
805;Precio medio horario componente mercado diario ;;;99.76;2021-07-11T20:00:00
805;Precio medio horario componente mercado diario ;;;103.1;2021-07-11T21:00:00
805;Precio medio horario componente mercado diario ;;;103.63;2021-07-11T22:00:00
805;Precio medio horario componente mercado diario ;;;99.44;2021-07-11T23:00:00
805;Precio medio horario componente mercado diario ;;;94.05;2021-07-12T00:00:00
805;Precio medio horario componente mercado diario ;;;81.02;2021-07-12T01:00:00
805;Precio medio horario componente mercado diario ;;;74;2021-07-12T02:00:00
805;Precio medio horario componente mercado diario ;;;72.92;2021-07-12T03:00:00
805;Precio medio horario componente mercado diario ;;;73.06;2021-07-12T04:00:00
805;Precio medio horario componente mercado diario ;;;76.12;2021-07-12T05:00:00
805;Precio medio horario componente mercado diario ;;;94.83;2021-07-12T06:00:00
805;Precio medio horario componente mercado diario ;;;102.07;2021-07-12T07:00:00
805;Precio medio horario componente mercado diario ;;;105.98;2021-07-12T08:00:00
805;Precio medio horario componente mercado diario ;;;101.8;2021-07-12T09:00:00
805;Precio medio horario componente mercado diario ;;;95.94;2021-07-12T10:00:00
805;Precio medio horario componente mercado diario ;;;92;2021-07-12T11:00:00
805;Precio medio horario componente mercado diario ;;;91.16;2021-07-12T12:00:00
805;Precio medio horario componente mercado diario ;;;87.53;2021-07-12T13:00:00
805;Precio medio horario componente mercado diario ;;;86.47;2021-07-12T14:00:00
805;Precio medio horario componente mercado diario ;;;74.99;2021-07-12T15:00:00
805;Precio medio horario componente mercado diario ;;;73.65;2021-07-12T16:00:00
805;Precio medio horario componente mercado diario ;;;72.9;2021-07-12T17:00:00
805;Precio medio horario componente mercado diario ;;;72.8;2021-07-12T18:00:00
805;Precio medio horario componente mercado diario ;;;72.68;2021-07-12T19:00:00
805;Precio medio horario componente mercado diario ;;;84.73;2021-07-12T20:00:00
